Subcounty,Wards,Location,Sublocation,Site_Data,amount
Mogotio,Emining Ward,Emining,Emining,Land size (Sq.km),45.5
Mogotio,Emining Ward,Emining,Emining,"Population (KNBS, 2019)",5572
Mogotio,Emining Ward,Emining,Emining,"Population Density (KNBS, 2019)",122
Mogotio,Emining Ward,Emining,Emining,"No.of Households (KNBS, 2019)",1116
Mogotio,Emining Ward,Emining,Emining,Households Density,24.5
Mogotio,Emining Ward,Emining,Emining,Targeted Households,385
Mogotio,Emining Ward,Emining,Kabogor,Land size (Sq.km),23.3
Mogotio,Emining Ward,Emining,Kabogor,"Population (KNBS, 2019)",1903
Mogotio,Emining Ward,Emining,Kabogor,"Population Density (KNBS, 2019)",82
Mogotio,Emining Ward,Emining,Kabogor,"No.of Households (KNBS, 2019)",350
Mogotio,Emining Ward,Emining,Kabogor,Households Density,15
Mogotio,Emining Ward,Emining,Kabogor,Targeted Households,180
Mogotio,Emining Ward,Emining,Oterit,Land size (Sq.km),21.7
Mogotio,Emining Ward,Emining,Oterit,"Population (KNBS, 2019)",2157
Mogotio,Emining Ward,Emining,Oterit,"Population Density (KNBS, 2019)",100
Mogotio,Emining Ward,Emining,Oterit,"No.of Households (KNBS, 2019)",421
Mogotio,Emining Ward,Emining,Oterit,Households Density,19.4
Mogotio,Emining Ward,Emining,Oterit,Targeted Households,300
Mogotio,Emining Ward,Koibos Soi,Radad,Land size (Sq.km),86.5
Mogotio,Emining Ward,Koibos Soi,Radad,"Population (KNBS, 2019)",2848
Mogotio,Emining Ward,Koibos Soi,Radad,"Population Density (KNBS, 2019)",33
Mogotio,Emining Ward,Koibos Soi,Radad,"No.of Households (KNBS, 2019)",564
Mogotio,Emining Ward,Koibos Soi,Radad,Households Density,6.5
Mogotio,Emining Ward,Koibos Soi,Radad,Targeted Households,383
Mogotio,Emining Ward,Rosoga,Rosoga,Land size (Sq.km),34.2
Mogotio,Emining Ward,Rosoga,Rosoga,"Population (KNBS, 2019)",3860
Mogotio,Emining Ward,Rosoga,Rosoga,"Population Density (KNBS, 2019)",113
Mogotio,Emining Ward,Rosoga,Rosoga,"No.of Households (KNBS, 2019)",724
Mogotio,Emining Ward,Rosoga,Rosoga,Households Density,21.2
Mogotio,Emining Ward,Rosoga,Rosoga,Targeted Households,364
Mogotio,Emining Ward,Total,Total,Land size (Sq.km),272
Mogotio,Emining Ward,Total,Total,"Population (KNBS, 2019)",20358
Mogotio,Emining Ward,Total,Total,"Population Density (KNBS, 2019)",516
Mogotio,Emining Ward,Total,Total,"No.of Households (KNBS, 2019)",4001
Mogotio,Emining Ward,Total,Total,Households Density,14.7
Mogotio,Emining Ward,Total,Total,Targeted Households,2029
Baringo North,Kipsaraman,Kapteberewo,Bortolimo,Land size (Sq.km),9.6
Baringo North,Kipsaraman,Kapteberewo,Bortolimo,"Population (KNBS, 2019)",3879
Baringo North,Kipsaraman,Kapteberewo,Bortolimo,"Population Density (KNBS, 2019)",405
Baringo North,Kipsaraman,Kapteberewo,Bortolimo,"No.of Households (KNBS, 2019)",894
Baringo North,Kipsaraman,Kapteberewo,Bortolimo,Households Density,93.1
Baringo North,Kipsaraman,Kapteberewo,Bortolimo,Targeted Households,536
Baringo North,Kipsaraman,Kapteberewo,Issas,Land size (Sq.km),7.2
Baringo North,Kipsaraman,Kapteberewo,Issas,"Population (KNBS, 2019)",1982
Baringo North,Kipsaraman,Kapteberewo,Issas,"Population Density (KNBS, 2019)",276
Baringo North,Kipsaraman,Kapteberewo,Issas,"No.of Households (KNBS, 2019)",433
Baringo North,Kipsaraman,Kapteberewo,Issas,Households Density,60.1
Baringo North,Kipsaraman,Kapteberewo,Issas,Targeted Households,260
Baringo North,Kipsaraman,Kipkata,Kapkoiwo,Land size (Sq.km),14.4
Baringo North,Kipsaraman,Kipkata,Kapkoiwo,"Population (KNBS, 2019)",1892
Baringo North,Kipsaraman,Kipkata,Kapkoiwo,"Population Density (KNBS, 2019)",131
Baringo North,Kipsaraman,Kipkata,Kapkoiwo,"No.of Households (KNBS, 2019)",426
Baringo North,Kipsaraman,Kipkata,Kapkoiwo,Households Density,29.6
Baringo North,Kipsaraman,Kipkata,Kapkoiwo,Targeted Households,256
Baringo North,Kipsaraman,Kipkata,Tunochun,Land size (Sq.km),7.6
Baringo North,Kipsaraman,Kipkata,Tunochun,"Population (KNBS, 2019)",2658
Baringo North,Kipsaraman,Kipkata,Tunochun,"Population Density (KNBS, 2019)",350
Baringo North,Kipsaraman,Kipkata,Tunochun,"No.of Households (KNBS, 2019)",571
Baringo North,Kipsaraman,Kipkata,Tunochun,Households Density,75.1
Baringo North,Kipsaraman,Kipkata,Tunochun,Targeted Households,343
Baringo North,Kipsaraman,Total,Total,Land size (Sq.km),38.8
Baringo North,Kipsaraman,Total,Total,"Population (KNBS, 2019)",10411
Baringo North,Kipsaraman,Total,Total,"Population Density (KNBS, 2019)",1162
Baringo North,Kipsaraman,Total,Total,"No.of Households (KNBS, 2019)",2324
Baringo North,Kipsaraman,Total,Total,Households Density,59.9
Baringo North,Kipsaraman,Total,Total,Targeted Households,1395
Baringo North,Kabartonjo,Katiorin,Lelian,Land size (Sq.km),11.2
Baringo North,Kabartonjo,Katiorin,Lelian,"Population (KNBS, 2019)",1014
Baringo North,Kabartonjo,Katiorin,Lelian,"Population Density (KNBS, 2019)",90
Baringo North,Kabartonjo,Katiorin,Lelian,"No.of Households (KNBS, 2019)",216
Baringo North,Kabartonjo,Katiorin,Lelian,Households Density,19.3
Baringo North,Kabartonjo,Katiorin,Lelian,Targeted Households,130
Baringo North,Kabartonjo,Katiorin,Kapkirwok,Land size (Sq.km),19.4
Baringo North,Kabartonjo,Katiorin,Kapkirwok,"Population (KNBS, 2019)",921
Baringo North,Kabartonjo,Katiorin,Kapkirwok,"Population Density (KNBS, 2019)",47
Baringo North,Kabartonjo,Katiorin,Kapkirwok,"No.of Households (KNBS, 2019)",226
Baringo North,Kabartonjo,Katiorin,Kapkirwok,Households Density,11.6
Baringo North,Kabartonjo,Katiorin,Kapkirwok,Targeted Households,136
Baringo North,Kabartonjo,Kelyo,Kapkiamo,Land size (Sq.km),14.9
Baringo North,Kabartonjo,Kelyo,Kapkiamo,"Population (KNBS, 2019)",1979
Baringo North,Kabartonjo,Kelyo,Kapkiamo,"Population Density (KNBS, 2019)",133
Baringo North,Kabartonjo,Kelyo,Kapkiamo,"No.of Households (KNBS, 2019)",446
Baringo North,Kabartonjo,Kelyo,Kapkiamo,Households Density,29.9
Baringo North,Kabartonjo,Kelyo,Kapkiamo,Targeted Households,268
Baringo North,Kabartonjo,Kelyo,Kasaka,Land size (Sq.km),14.6
Baringo North,Kabartonjo,Kelyo,Kasaka,"Population (KNBS, 2019)",1251
Baringo North,Kabartonjo,Kelyo,Kasaka,"Population Density (KNBS, 2019)",86
Baringo North,Kabartonjo,Kelyo,Kasaka,"No.of Households (KNBS, 2019)",260
Baringo North,Kabartonjo,Kelyo,Kasaka,Households Density,17.8
Baringo North,Kabartonjo,Kelyo,Kasaka,Targeted Households,156
Baringo North,Kabartonjo,Kelyo,Kelyo Mosop,Land size (Sq.km),6.9
Baringo North,Kabartonjo,Kelyo,Kelyo Mosop,"Population (KNBS, 2019)",2722
Baringo North,Kabartonjo,Kelyo,Kelyo Mosop,"Population Density (KNBS, 2019)",393
Baringo North,Kabartonjo,Kelyo,Kelyo Mosop,"No.of Households (KNBS, 2019)",727
Baringo North,Kabartonjo,Kelyo,Kelyo Mosop,Households Density,105.4
Baringo North,Kabartonjo,Kelyo,Kelyo Mosop,Targeted Households,436
Baringo North,Kabartonjo,Ossen,Kaimogul,Land size (Sq.km),13.8
Baringo North,Kabartonjo,Ossen,Kaimogul,"Population (KNBS, 2019)",2245
Baringo North,Kabartonjo,Ossen,Kaimogul,"Population Density (KNBS, 2019)",163
Baringo North,Kabartonjo,Ossen,Kaimogul,"No.of Households (KNBS, 2019)",476
Baringo North,Kabartonjo,Ossen,Kaimogul,Households Density,34.5
Baringo North,Kabartonjo,Ossen,Kaimogul,Targeted Households,300
Baringo North,Kabartonjo,Ossen,Kaptum,Land size (Sq.km),13.4
Baringo North,Kabartonjo,Ossen,Kaptum,"Population (KNBS, 2019)",3702
Baringo North,Kabartonjo,Ossen,Kaptum,"Population Density (KNBS, 2019)",277
Baringo North,Kabartonjo,Ossen,Kaptum,"No.of Households (KNBS, 2019)",795
Baringo North,Kabartonjo,Ossen,Kaptum,Households Density,59.3
Baringo North,Kabartonjo,Ossen,Kaptum,Targeted Households,493
Baringo North,Kabartonjo,Ossen,Tiloi,Land size (Sq.km),10.4
Baringo North,Kabartonjo,Ossen,Tiloi,"Population (KNBS, 2019)",833
Baringo North,Kabartonjo,Ossen,Tiloi,"Population Density (KNBS, 2019)",80
Baringo North,Kabartonjo,Ossen,Tiloi,"No.of Households (KNBS, 2019)",169
Baringo North,Kabartonjo,Ossen,Tiloi,Households Density,16.3
Baringo North,Kabartonjo,Ossen,Tiloi,Targeted Households,105
Baringo North,Kabartonjo,Ossen,Tiriondonin,Land size (Sq.km),21.9
Baringo North,Kabartonjo,Ossen,Tiriondonin,"Population (KNBS, 2019)",4109
Baringo North,Kabartonjo,Ossen,Tiriondonin,"Population Density (KNBS, 2019)",187
Baringo North,Kabartonjo,Ossen,Tiriondonin,"No.of Households (KNBS, 2019)",966
Baringo North,Kabartonjo,Ossen,Tiriondonin,Households Density,44.1
Baringo North,Kabartonjo,Ossen,Tiriondonin,Targeted Households,599
Baringo North,Kabartonjo,Saimo,Kapchepkor,Land size (Sq.km),9.9
Baringo North,Kabartonjo,Saimo,Kapchepkor,"Population (KNBS, 2019)",2730
Baringo North,Kabartonjo,Saimo,Kapchepkor,"Population Density (KNBS, 2019)",277
Baringo North,Kabartonjo,Saimo,Kapchepkor,"No.of Households (KNBS, 2019)",576
Baringo North,Kabartonjo,Saimo,Kapchepkor,Households Density,58.2
Baringo North,Kabartonjo,Saimo,Kapchepkor,Targeted Households,357
Baringo North,Kabartonjo,Saimo,Kapkombe,Land size (Sq.km),4.4
Baringo North,Kabartonjo,Saimo,Kapkombe,"Population (KNBS, 2019)",1027
Baringo North,Kabartonjo,Saimo,Kapkombe,"Population Density (KNBS, 2019)",233
Baringo North,Kabartonjo,Saimo,Kapkombe,"No.of Households (KNBS, 2019)",241
Baringo North,Kabartonjo,Saimo,Kapkombe,Households Density,54.8
Baringo North,Kabartonjo,Saimo,Kapkombe,Targeted Households,149
Baringo North,Kabartonjo,Saimo,Kaptere,Land size (Sq.km),6.5
Baringo North,Kabartonjo,Saimo,Kaptere,"Population (KNBS, 2019)",2529
Baringo North,Kabartonjo,Saimo,Kaptere,"Population Density (KNBS, 2019)",390
Baringo North,Kabartonjo,Saimo,Kaptere,"No.of Households (KNBS, 2019)",610
Baringo North,Kabartonjo,Saimo,Kaptere,Households Density,93.8
Baringo North,Kabartonjo,Saimo,Kaptere,Targeted Households,378
Baringo North,Kabartonjo,Saimo,Kasisit,Land size (Sq.km),7
Baringo North,Kabartonjo,Saimo,Kasisit,"Population (KNBS, 2019)",2292
Baringo North,Kabartonjo,Saimo,Kasisit,"Population Density (KNBS, 2019)",328
Baringo North,Kabartonjo,Saimo,Kasisit,"No.of Households (KNBS, 2019)",504
Baringo North,Kabartonjo,Saimo,Kasisit,Households Density,72
Baringo North,Kabartonjo,Saimo,Kasisit,Targeted Households,329
Baringo North,Kabartonjo,Saimo,Tirimionin,Land size (Sq.km),8.1
Baringo North,Kabartonjo,Saimo,Tirimionin,"Population (KNBS, 2019)",2324
Baringo North,Kabartonjo,Saimo,Tirimionin,"Population Density (KNBS, 2019)",287
Baringo North,Kabartonjo,Saimo,Tirimionin,"No.of Households (KNBS, 2019)",534
Baringo North,Kabartonjo,Saimo,Tirimionin,Households Density,65.9
Baringo North,Kabartonjo,Saimo,Tirimionin,Targeted Households,351
Baringo North,Kabartonjo,Total,Total,Land size (Sq.km),162.4
Baringo North,Kabartonjo,Total,Total,"Population (KNBS, 2019)",29678
Baringo North,Kabartonjo,Total,Total,"Population Density (KNBS, 2019)",2971
Baringo North,Kabartonjo,Total,Total,"No.of Households (KNBS, 2019)",6746
Baringo North,Kabartonjo,Total,Total,Households Density,41.5
Baringo North,Kabartonjo,Total,Total,Targeted Households,4187
